2019-02-20 09:27:55.973 DEBUG 8252 --- [http-nio-8443-exec-4] o.s.s.w.u.matcher.AntPathRequestMatcher  : Request 'GET /api/administration/generate-doc-nr' doesn't match 'OPTIONS /**
2019-02-20 09:27:55.973 DEBUG 8252 --- [http-nio-8443-exec-1] o.s.s.w.u.matcher.AntPathRequestMatcher  : Request 'GET /api/tasks/request-step-by-id-and-code' doesn't match 'OPTIONS /**
2019-02-20 09:27:55.973 DEBUG 8252 --- [http-nio-8443-exec-5] o.s.s.w.u.matcher.AntPathRequestMatcher  : Request 'GET /api/tasks/request-step-by-code-and-step' doesn't match 'OPTIONS /**
2019-02-20 09:27:56.025 DEBUG 8252 --- [http-nio-8443-exec-4] o.s.s.w.u.matcher.AntPathRequestMatcher  : Checking match of request : '/api/administration/generate-doc-nr'; against '/app/**/*.{js,html}'
2019-02-20 09:27:56.025 DEBUG 8252 --- [http-nio-8443-exec-1] o.s.s.w.u.matcher.AntPathRequestMatcher  : Checking match of request : '/api/tasks/request-step-by-id-and-code'; against '/app/**/*.{js,html}'
2019-02-20 09:27:56.025 DEBUG 8252 --- [http-nio-8443-exec-5] o.s.s.w.u.matcher.AntPathRequestMatcher  : Checking match of request : '/api/tasks/request-step-by-code-and-step'; against '/app/**/*.{js,html}'
2019-02-20 09:27:56.029 DEBUG 8252 --- [http-nio-8443-exec-5] o.s.s.w.u.matcher.AntPathRequestMatcher  : Checking match of request : '/api/tasks/request-step-by-code-and-step'; against '/api/authenticate'
2019-02-20 09:27:56.029 DEBUG 8252 --- [http-nio-8443-exec-4] o.s.s.w.u.matcher.AntPathRequestMatcher  : Checking match of request : '/api/administration/generate-doc-nr'; against '/api/authenticate'
2019-02-20 09:27:56.029 DEBUG 8252 --- [http-nio-8443-exec-1] o.s.s.w.u.matcher.AntPathRequestMatcher  : Checking match of request : '/api/tasks/request-step-by-id-and-code'; against '/api/authenticate'
2019-02-20 09:27:56.031 DEBUG 8252 --- [http-nio-8443-exec-4] o.s.security.web.FilterChainProxy        : /api/administration/generate-doc-nr at position 1 of 11 in additional filter chain; firing Filter: 'WebAsyncManagerIntegrationFilter'
2019-02-20 09:27:56.031 DEBUG 8252 --- [http-nio-8443-exec-1] o.s.security.web.FilterChainProxy        : /api/tasks/request-step-by-id-and-code?id=3&code=R at position 1 of 11 in additional filter chain; firing Filter: 'WebAsyncManagerIntegrationFilter'
2019-02-20 09:27:56.031 DEBUG 8252 --- [http-nio-8443-exec-5] o.s.security.web.FilterChainProxy        : /api/tasks/request-step-by-code-and-step?code=ATIE&step=R at position 1 of 11 in additional filter chain; firing Filter: 'WebAsyncManagerIntegrationFilter'
2019-02-20 09:27:56.035 DEBUG 8252 --- [http-nio-8443-exec-1] o.s.security.web.FilterChainProxy        : /api/tasks/request-step-by-id-and-code?id=3&code=R at position 2 of 11 in additional filter chain; firing Filter: 'SecurityContextPersistenceFilter'
2019-02-20 09:27:56.035 DEBUG 8252 --- [http-nio-8443-exec-5] o.s.security.web.FilterChainProxy        : /api/tasks/request-step-by-code-and-step?code=ATIE&step=R at position 2 of 11 in additional filter chain; firing Filter: 'SecurityContextPersistenceFilter'
2019-02-20 09:27:56.035 DEBUG 8252 --- [http-nio-8443-exec-4] o.s.security.web.FilterChainProxy        : /api/administration/generate-doc-nr at position 2 of 11 in additional filter chain; firing Filter: 'SecurityContextPersistenceFilter'
2019-02-20 09:27:56.040 DEBUG 8252 --- [http-nio-8443-exec-4] o.s.security.web.FilterChainProxy        : /api/administration/generate-doc-nr at position 3 of 11 in additional filter chain; firing Filter: 'HeaderWriterFilter'
2019-02-20 09:27:56.040 DEBUG 8252 --- [http-nio-8443-exec-1] o.s.security.web.FilterChainProxy        : /api/tasks/request-step-by-id-and-code?id=3&code=R at position 3 of 11 in additional filter chain; firing Filter: 'HeaderWriterFilter'
2019-02-20 09:27:56.040 DEBUG 8252 --- [http-nio-8443-exec-5] o.s.security.web.FilterChainProxy        : /api/tasks/request-step-by-code-and-step?code=ATIE&step=R at position 3 of 11 in additional filter chain; firing Filter: 'HeaderWriterFilter'
2019-02-20 09:27:56.043 DEBUG 8252 --- [http-nio-8443-exec-5] o.s.security.web.FilterChainProxy        : /api/tasks/request-step-by-code-and-step?code=ATIE&step=R at position 4 of 11 in additional filter chain; firing Filter: 'LogoutFilter'
2019-02-20 09:27:56.043 DEBUG 8252 --- [http-nio-8443-exec-4] o.s.security.web.FilterChainProxy        : /api/administration/generate-doc-nr at position 4 of 11 in additional filter chain; firing Filter: 'LogoutFilter'
2019-02-20 09:27:56.043 DEBUG 8252 --- [http-nio-8443-exec-1] o.s.security.web.FilterChainProxy        : /api/tasks/request-step-by-id-and-code?id=3&code=R at position 4 of 11 in additional filter chain; firing Filter: 'LogoutFilter'
2019-02-20 09:27:56.050 DEBUG 8252 --- [http-nio-8443-exec-5] o.s.s.web.util.matcher.OrRequestMatcher  : Trying to match using Ant [pattern='/logout', GET]
2019-02-20 09:27:56.050 DEBUG 8252 --- [http-nio-8443-exec-1] o.s.s.web.util.matcher.OrRequestMatcher  : Trying to match using Ant [pattern='/logout', GET]
2019-02-20 09:27:56.050 DEBUG 8252 --- [http-nio-8443-exec-1] o.s.s.w.u.matcher.AntPathRequestMatcher  : Checking match of request : '/api/tasks/request-step-by-id-and-code'; against '/logout'
2019-02-20 09:27:56.050 DEBUG 8252 --- [http-nio-8443-exec-5] o.s.s.w.u.matcher.AntPathRequestMatcher  : Checking match of request : '/api/tasks/request-step-by-code-and-step'; against '/logout'
2019-02-20 09:27:56.050 DEBUG 8252 --- [http-nio-8443-exec-5] o.s.s.web.util.matcher.OrRequestMatcher  : Trying to match using Ant [pattern='/logout', POST]
2019-02-20 09:27:56.051 DEBUG 8252 --- [http-nio-8443-exec-5] o.s.s.w.u.matcher.AntPathRequestMatcher  : Request 'GET /api/tasks/request-step-by-code-and-step' doesn't match 'POST /logout
2019-02-20 09:27:56.051 DEBUG 8252 --- [http-nio-8443-exec-4] o.s.s.web.util.matcher.OrRequestMatcher  : Trying to match using Ant [pattern='/logout', GET]
2019-02-20 09:27:56.051 DEBUG 8252 --- [http-nio-8443-exec-5] o.s.s.web.util.matcher.OrRequestMatcher  : Trying to match using Ant [pattern='/logout', PUT]
2019-02-20 09:27:56.051 DEBUG 8252 --- [http-nio-8443-exec-4] o.s.s.w.u.matcher.AntPathRequestMatcher  : Checking match of request : '/api/administration/generate-doc-nr'; against '/logout'
2019-02-20 09:27:56.051 DEBUG 8252 --- [http-nio-8443-exec-5] o.s.s.w.u.matcher.AntPathRequestMatcher  : Request 'GET /api/tasks/request-step-by-code-and-step' doesn't match 'PUT /logout
2019-02-20 09:27:56.051 DEBUG 8252 --- [http-nio-8443-exec-5] o.s.s.web.util.matcher.OrRequestMatcher  : Trying to match using Ant [pattern='/logout', DELETE]
2019-02-20 09:27:56.050 DEBUG 8252 --- [http-nio-8443-exec-1] o.s.s.web.util.matcher.OrRequestMatcher  : Trying to match using Ant [pattern='/logout', POST]
